"id","givenName","familyName","middleName","unaccentedGivenName","unaccentedFamilyName","unaccentedMiddleName","nickName","honorificPrefix","honorificSuffix","honorificTitle","birthYear","deathYear","congresses"
"B000226","Richard","Bassett",,"Richard","Bassett",,,,,,"1745","1815","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""DE"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""DE"",""parties"":[""Anti-Administration""]}]"
"B001186","Pierce","Butler",,"Pierce","Butler",,,,,,"1744","1822","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""SC""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""SC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""SC"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""SC"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""SC"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""SC"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":8,""stateName"":""SC"",""parties"":[""Democratic Republican""]}]"
"C000185","Charles","Carroll",,"Charles","Carroll",,"of Carrollton",,,,"1737","1832","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""MD""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""MD"",""parties"":[""Pro-Administration""]}]"
"D000013","Tristram","Dalton",,"Tristram","Dalton",,,,,,"1738","1817","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""MA"",""parties"":[""Pro-Administration""]}]"
"D000324","Philemon","Dickinson",,"Philemon","Dickinson",,,,,,"1739","1809","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""DE""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NJ"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NJ"",""parties"":[""Pro-Administration""]}]"
"E000147","Oliver","Ellsworth",,"Oliver","Ellsworth",,,,,,"1745","1807","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""CT""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""CT""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""CT"",""parties"":[""Pro-Administration""]}]"
"E000155","Jonathan","Elmer",,"Jonathan","Elmer",,,,,,"1745","1817","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""NJ""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NJ""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NJ"",""parties"":[""Pro-Administration""]}]"
"F000100","William","Few",,"William","Few",,,,,,"1748","1828","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""GA""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""GA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""GA"",""parties"":[""Anti-Administration""]}]"
"F000313","Theodore","Foster",,"Theodore","Foster",,,,,,"1752","1828","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""RI"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""RI"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":7,""stateName"":""RI"",""parties"":[""Federalist""]}]"
"G000403","William","Grayson",,"William","Grayson",,,,,,"1740","1790","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""VA"",""parties"":[""Anti-Administration""]}]"
"G000526","James","Gunn",,"James","Gunn",,,,,,"1753","1801","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""GA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""GA"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""GA"",""parties"":[""Federalist""]}]"
"H000368","Benjamin","Hawkins",,"Benjamin","Hawkins",,,,,,"1754","1816","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NC""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""NC"",""parties"":[""Pro-Administration""]}]"
"H000508","John","Henry",,"John","Henry",,,,,,"1750","1798","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""MD""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""MD""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""MD"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""MD"",""parties"":[""Pro-Administration""]}]"
"I000053","Ralph","Izard",,"Ralph","Izard",,,,,,"1741","1804","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""SC""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""SC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""SC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""SC"",""parties"":[""Pro-Administration""]}]"
"J000182","William","Johnson","Samuel","William","Johnson","Samuel",,,,,"1727","1819","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""CT""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""CT"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""CT"",""parties"":[""Pro-Administration""]}]"
"J000198","Samuel","Johnston",,"Samuel","Johnston",,,,,,"1733","1816","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""NC""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NC""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NC"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NC"",""parties"":[""Pro-Administration""]}]"
"K000212","Rufus","King",,"Rufus","King",,,,,,"1755","1827","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""MA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NY"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NY"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""NY"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":13,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":14,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":15,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":16,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":17,""stateName"":""NY"",""parties"":[""Federalist""]},{""position"":""Senator"",""congressNumber"":18,""stateName"":""NY"",""parties"":[""Adams-Clay Federalist""]}]"
"L000067","John","Langdon",,"John","Langdon",,,,,,"1741","1819","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""NH""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NH""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NH"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NH"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""NH"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""NH"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""NH"",""parties"":[""Democratic Republican""]},{""position"":""Senator"",""congressNumber"":6,""stateName"":""NH"",""parties"":[""Democratic Republican""]}]"
"L000201","Richard","Lee","Henry","Richard","Lee","Henry",,,,,"1732","1794","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Delegate"",""congressNumber"":2,""stateName"":""VA""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""VA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""VA"",""parties"":[""Anti-Administration""]}]"
"M000031","William","MacLay",,"William","MacLay",,,,,,"1737","1804","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""PA"",""parties"":[""Anti-Administration""]}]"
"M000858","James","Monroe",,"James","Monroe",,,"Mr.",,,"1758","1831","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""VA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""VA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""VA"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""VA"",""parties"":[""Anti-Administration""]}]"
"M000985","Robert","Morris",,"Robert","Morris",,,,,,"1734","1806","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""PA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""PA"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""PA"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""PA"",""parties"":[""Pro-Administration""]}]"
"P000102","William","Paterson",,"William","Paterson",,,,,,"1745","1806","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""NJ"",""parties"":[""Pro-Administration""]}]"
"R000091","George","Read",,"George","Read",,,,,,"1733","1798","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""DE""},{""position"":""Delegate"",""congressNumber"":2,""stateName"":""DE""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""DE"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""DE"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""DE"",""parties"":[""Pro-Administration""]}]"
"S000154","Philip","Schuyler","John","Philip","Schuyler","John",,,,,"1733","1804","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""NY""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NY"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":5,""stateName"":""NY"",""parties"":[""Pro-Administration""]}]"
"S000805","Joseph","Stanton",,"Joseph","Stanton",,,"Mr.","Jr.",,"1739","1821","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""RI"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""RI"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":7,""stateName"":""RI"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":8,""stateName"":""RI"",""parties"":[""Democratic Republican""],""electionCirca"":false},{""position"":""Representative"",""congressNumber"":9,""stateName"":""RI"",""parties"":[""Democratic Republican""],""electionCirca"":false}]"
"S001009","Caleb","Strong",,"Caleb","Strong",,,,,,"1745","1819","[{""position"":""Senator"",""congressNumber"":1,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":3,""stateName"":""MA"",""parties"":[""Pro-Administration""]},{""position"":""Senator"",""congressNumber"":4,""stateName"":""MA"",""parties"":[""Pro-Administration""]}]"
"W000059","John","Walker",,"John","Walker",,,,,,"1744","1809","[{""position"":""Delegate"",""congressNumber"":2,""stateName"":""VA""},{""position"":""Senator"",""congressNumber"":1,""stateName"":""VA"",""parties"":[""Pro-Administration""]}]"
"W000633","Paine","Wingate",,"Paine","Wingate",,,"Mr.",,,"1739","1838","[{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NH""},{""position"":""Delegate"",""congressNumber"":1,""stateName"":""NH"",""parties"":[""NA""]},{""position"":""Senator"",""congressNumber"":1,""stateName"":""NH"",""parties"":[""Anti-Administration""]},{""position"":""Senator"",""congressNumber"":2,""stateName"":""NH"",""parties"":[""Anti-Administration""]},{""position"":""Representative"",""congressNumber"":3,""stateName"":""NH""}]"